filename,width,height,class,xmin,ymin,xmax,ymax
1277104195Image000003.jpg,22,24,100_SIGN,355,446,377,470
1277104195Image000008.jpg,25,26,100_SIGN,373,443,398,469
1277104195Image000013.jpg,28,29,100_SIGN,393,437,421,466
1277104195Image000018.jpg,34,36,100_SIGN,431,426,465,462
1277104195Image000023.jpg,37,41,100_SIGN,479,416,516,457
1277104195Image000028.jpg,52,57,100_SIGN,587,398,639,455
1277104293Image000004.jpg,16,16,70_SIGN,365,434,381,450
1277104293Image000004.jpg,17,18,70_SIGN,58,439,75,457
1277104293Image000004.jpg,16,16,70_SIGN,365,434,381,450
1277104293Image000004.jpg,17,18,70_SIGN,58,439,75,457
1277104293Image000004.jpg,16,16,70_SIGN,365,434,381,450
1277104293Image000004.jpg,17,18,70_SIGN,58,439,75,457
1277104293Image000009.jpg,17,17,70_SIGN,358,430,375,447
1277104293Image000009.jpg,19,18,70_SIGN,18,438,37,456
1277104293Image000009.jpg,17,17,70_SIGN,358,430,375,447
1277104293Image000009.jpg,19,18,70_SIGN,18,438,37,456
1277104293Image000009.jpg,17,17,70_SIGN,358,430,375,447
1277104293Image000009.jpg,19,18,70_SIGN,18,438,37,456
1277104293Image000014.jpg,21,21,70_SIGN,358,426,379,447
1277104293Image000014.jpg,21,21,70_SIGN,358,426,379,447
1277104293Image000019.jpg,24,24,70_SIGN,363,426,387,450
1277104293Image000019.jpg,24,24,70_SIGN,363,426,387,450
1277104293Image000024.jpg,27,27,70_SIGN,373,421,400,448
1277104293Image000024.jpg,27,27,70_SIGN,373,421,400,448
1277104293Image000034.jpg,38,39,70_SIGN,430,407,468,446
1277104293Image000034.jpg,38,39,70_SIGN,430,407,468,446
1277104293Image000039.jpg,48,49,70_SIGN,493,391,541,440
1277104293Image000039.jpg,48,49,70_SIGN,493,391,541,440
1277104293Image000044.jpg,83,88,70_SIGN,712,327,795,415
1277104293Image000044.jpg,83,88,70_SIGN,712,327,795,415
1277104314Image000002.jpg,10,18,STOP,309,453,319,471
1277104314Image000002.jpg,8,10,100_SIGN,178,454,186,464
1277104314Image000002.jpg,7,8,PASS_RIGHT_SIDE,119,457,126,465
1277104314Image000002.jpg,8,8,100_SIGN,24,462,32,470
1277104314Image000002.jpg,10,18,STOP,309,453,319,471
1277104314Image000002.jpg,8,10,100_SIGN,178,454,186,464
1277104314Image000002.jpg,7,8,PASS_RIGHT_SIDE,119,457,126,465
1277104314Image000002.jpg,8,8,100_SIGN,24,462,32,470
1277104314Image000002.jpg,10,18,STOP,309,453,319,471
1277104314Image000002.jpg,8,10,100_SIGN,178,454,186,464
1277104314Image000002.jpg,7,8,PASS_RIGHT_SIDE,119,457,126,465
1277104314Image000002.jpg,8,8,100_SIGN,24,462,32,470
1277104314Image000002.jpg,10,18,STOP,309,453,319,471
